Product, Origin Year, Development Year, Incremental Value
LongHistory,1990,1990,22
LongHistory,1990,1991,33
LongHistory,1990,1992,28
LongHistory,1990,1993,170
LongHistory,1990,1994,36
LongHistory,1990,1995,83
LongHistory,1990,1996,191
LongHistory,1990,1997,6
LongHistory,1990,1998,21
LongHistory,1990,1999,108
LongHistory,1990,2000,2
LongHistory,1990,2001,49
LongHistory,1990,2002,142
LongHistory,1990,2003,10
LongHistory,1990,2004,59
LongHistory,1990,2005,107
LongHistory,1990,2006,86
LongHistory,1990,2007,13
LongHistory,1990,2008,99
LongHistory,1990,2009,178
LongHistory,1992,1992,40
LongHistory,1992,1993,128
LongHistory,1992,1994,85
LongHistory,1992,1995,12
LongHistory,1992,1996,27
LongHistory,1992,1997,143
LongHistory,1992,1998,189
LongHistory,1992,1999,120
LongHistory,1992,2000,70
LongHistory,1992,2001,49
LongHistory,1992,2002,138
LongHistory,1992,2003,90
LongHistory,1992,2004,87
LongHistory,1992,2005,11
LongHistory,1992,2006,169
LongHistory,1992,2007,189
LongHistory,1992,2008,97
LongHistory,1992,2009,179
LongHistory,1992,2010,50
LongHistory,1992,2011,63
LongHistory,1993,1993,43
LongHistory,1993,1994,114
LongHistory,1993,1995,181
LongHistory,1993,1996,75
LongHistory,1993,1997,176
LongHistory,1993,1998,114
LongHistory,1993,1999,96
LongHistory,1993,2000,100
LongHistory,1993,2001,95
LongHistory,1993,2002,120
LongHistory,1993,2003,194
LongHistory,1993,2004,65
LongHistory,1993,2005,131
LongHistory,1993,2006,174
LongHistory,1993,2007,46
LongHistory,1993,2008,73
LongHistory,1993,2009,33
LongHistory,1993,2010,106
LongHistory,1993,2011,198
LongHistory,1993,2012,101
LongHistory,1994,1994,146
LongHistory,1994,1995,10
LongHistory,1994,1996,114
LongHistory,1994,1997,79
LongHistory,1994,1998,154
LongHistory,1994,1999,50
LongHistory,1994,2000,42
LongHistory,1994,2001,91
LongHistory,1994,2002,184
LongHistory,1994,2003,98
LongHistory,1994,2004,76
LongHistory,1994,2005,124
LongHistory,1994,2006,150
LongHistory,1994,2007,96
LongHistory,1994,2008,128
LongHistory,1994,2009,11
LongHistory,1994,2010,55
LongHistory,1994,2011,89
LongHistory,1994,2012,85
LongHistory,1994,2013,22
LongHistory,1995,1995,144
LongHistory,1995,1996,110
LongHistory,1995,1997,89
LongHistory,1995,1998,2
LongHistory,1995,1999,87
LongHistory,1995,2000,180
LongHistory,1995,2001,120
LongHistory,1995,2002,176
LongHistory,1995,2003,97
LongHistory,1995,2004,13
LongHistory,1995,2005,77
LongHistory,1995,2006,83
LongHistory,1995,2007,151
LongHistory,1995,2008,200
LongHistory,1995,2009,144
LongHistory,1995,2010,45
LongHistory,1995,2011,59
LongHistory,1995,2012,172
LongHistory,1995,2013,189
LongHistory,1995,2014,96
LongHistory,1996,1996,85
LongHistory,1996,1997,160
LongHistory,1996,1998,154
LongHistory,1996,1999,30
LongHistory,1996,2000,94
LongHistory,1996,2001,79
LongHistory,1996,2002,32
LongHistory,1996,2003,72
LongHistory,1996,2004,96
LongHistory,1996,2005,130
LongHistory,1996,2006,63
LongHistory,1996,2007,28
LongHistory,1996,2008,79
LongHistory,1996,2009,123
LongHistory,1996,2010,134
LongHistory,1996,2011,133
LongHistory,1996,2012,157
LongHistory,1996,2013,20
LongHistory,1996,2014,103
LongHistory,1996,2015,43
LongHistory,1997,1997,165
LongHistory,1997,1998,10
LongHistory,1997,1999,192
LongHistory,1997,2000,27
LongHistory,1997,2001,56
LongHistory,1997,2002,36
LongHistory,1997,2003,200
LongHistory,1997,2004,195
LongHistory,1997,2005,81
LongHistory,1997,2006,112
LongHistory,1997,2007,147
LongHistory,1997,2008,88
LongHistory,1997,2009,11
LongHistory,1997,2010,61
LongHistory,1997,2011,32
LongHistory,1997,2012,25
LongHistory,1997,2013,183
LongHistory,1997,2014,180
LongHistory,1997,2015,66
LongHistory,1997,2016,111
LongHistory,1998,1998,70
LongHistory,1998,1999,38
LongHistory,1998,2000,36
LongHistory,1998,2001,165
LongHistory,1998,2002,65
LongHistory,1998,2003,175
LongHistory,1998,2004,72
LongHistory,1998,2005,30
LongHistory,1998,2006,186
LongHistory,1998,2007,194
LongHistory,1998,2008,188
LongHistory,1998,2009,172
LongHistory,1998,2010,166
LongHistory,1998,2011,200
LongHistory,1998,2012,146
LongHistory,1998,2013,20
LongHistory,1998,2014,45
LongHistory,1998,2015,8
LongHistory,1998,2016,23
LongHistory,1998,2017,146
LongHistory,1999,1999,115
LongHistory,1999,2000,126
LongHistory,1999,2001,189
LongHistory,1999,2002,113
LongHistory,1999,2003,28
LongHistory,1999,2004,28
LongHistory,1999,2005,150
LongHistory,1999,2006,138
LongHistory,1999,2007,120
LongHistory,1999,2008,149
LongHistory,1999,2009,57
LongHistory,1999,2010,145
LongHistory,1999,2011,102
LongHistory,1999,2012,15
LongHistory,1999,2013,49
LongHistory,1999,2014,127
LongHistory,1999,2015,14
LongHistory,1999,2016,100
LongHistory,1999,2017,120
LongHistory,1999,2018,7
LongHistory,2000,2000,147
LongHistory,2000,2001,180
LongHistory,2000,2002,97
LongHistory,2000,2003,65
LongHistory,2000,2004,11
LongHistory,2000,2005,199
LongHistory,2000,2006,41
LongHistory,2000,2007,116
LongHistory,2000,2008,21
LongHistory,2000,2009,10
LongHistory,2000,2010,4
LongHistory,2000,2011,166
LongHistory,2000,2012,63
LongHistory,2000,2013,162
LongHistory,2000,2014,13
LongHistory,2000,2015,138
LongHistory,2000,2016,177
LongHistory,2000,2017,187
LongHistory,2000,2018,51
LongHistory,2000,2019,111
LongHistory,2001,2001,145
LongHistory,2001,2002,171
LongHistory,2001,2003,133
LongHistory,2001,2004,37
LongHistory,2001,2005,62
LongHistory,2001,2006,160
LongHistory,2001,2007,7
LongHistory,2001,2008,153
LongHistory,2001,2009,2
LongHistory,2001,2010,16
LongHistory,2001,2011,38
LongHistory,2001,2012,162
LongHistory,2001,2013,33
LongHistory,2001,2014,183
LongHistory,2001,2015,13
LongHistory,2001,2016,78
LongHistory,2001,2017,83
LongHistory,2001,2018,30
LongHistory,2001,2019,153
LongHistory,2001,2020,97
LongHistory,2002,2002,71
LongHistory,2002,2003,23
LongHistory,2002,2004,23
LongHistory,2002,2005,155
LongHistory,2002,2006,169
LongHistory,2002,2007,172
LongHistory,2002,2008,186
LongHistory,2002,2009,20
LongHistory,2002,2010,21
LongHistory,2002,2011,79
LongHistory,2002,2012,170
LongHistory,2002,2013,72
LongHistory,2002,2014,115
LongHistory,2002,2015,8
LongHistory,2002,2016,87
LongHistory,2002,2017,199
LongHistory,2002,2018,168
LongHistory,2002,2019,32
LongHistory,2002,2020,87
LongHistory,2002,2021,110
LongHistory,2003,2003,197
LongHistory,2003,2004,175
LongHistory,2003,2005,121
LongHistory,2003,2006,136
LongHistory,2003,2007,101
LongHistory,2003,2008,131
LongHistory,2003,2009,189
LongHistory,2003,2010,45
LongHistory,2003,2011,183
LongHistory,2003,2012,118
LongHistory,2003,2013,200
LongHistory,2003,2014,98
LongHistory,2003,2015,67
LongHistory,2003,2016,177
LongHistory,2003,2017,28
LongHistory,2003,2018,153
LongHistory,2003,2019,136
LongHistory,2003,2020,188
LongHistory,2003,2021,186
LongHistory,2003,2022,30
LongHistory,2004,2004,86
LongHistory,2004,2005,35
LongHistory,2004,2006,108
LongHistory,2004,2007,25
LongHistory,2004,2008,115
LongHistory,2004,2009,5
LongHistory,2004,2010,100
LongHistory,2004,2011,20
LongHistory,2004,2012,117
LongHistory,2004,2013,112
LongHistory,2004,2014,4
LongHistory,2004,2015,18
LongHistory,2004,2016,12
LongHistory,2004,2017,0
LongHistory,2004,2018,57
LongHistory,2004,2019,124
LongHistory,2004,2020,179
LongHistory,2004,2021,102
LongHistory,2004,2022,32
LongHistory,2004,2023,184
LongHistory,2005,2005,46
LongHistory,2005,2006,173
LongHistory,2005,2007,114
LongHistory,2005,2008,103
LongHistory,2005,2009,138
LongHistory,2005,2010,20
LongHistory,2005,2011,97
LongHistory,2005,2012,115
LongHistory,2005,2013,105
LongHistory,2005,2014,169
LongHistory,2005,2015,61
LongHistory,2005,2016,177
LongHistory,2005,2017,10
LongHistory,2005,2018,164
LongHistory,2005,2019,75
LongHistory,2005,2020,15
LongHistory,2005,2021,151
LongHistory,2005,2022,92
LongHistory,2005,2023,88
LongHistory,2005,2024,195
LongHistory,2006,2006,149
LongHistory,2006,2007,136
LongHistory,2006,2008,78
LongHistory,2006,2009,22
LongHistory,2006,2010,170
LongHistory,2006,2011,152
LongHistory,2006,2012,93
LongHistory,2006,2013,97
LongHistory,2006,2014,120
LongHistory,2006,2015,91
LongHistory,2006,2016,6
LongHistory,2006,2017,132
LongHistory,2006,2018,195
LongHistory,2006,2019,128
LongHistory,2006,2020,113
LongHistory,2006,2021,103
LongHistory,2006,2022,107
LongHistory,2006,2023,30
LongHistory,2006,2024,132
LongHistory,2006,2025,71
LongHistory,2007,2007,104
LongHistory,2007,2008,183
LongHistory,2007,2009,90
LongHistory,2007,2010,13
LongHistory,2007,2011,49
LongHistory,2007,2012,8
LongHistory,2007,2013,64
LongHistory,2007,2014,86
LongHistory,2007,2015,175
LongHistory,2007,2016,143
LongHistory,2007,2017,99
LongHistory,2007,2018,67
LongHistory,2007,2019,180
LongHistory,2007,2020,106
LongHistory,2007,2021,185
LongHistory,2007,2022,91
LongHistory,2007,2023,95
LongHistory,2007,2024,21
LongHistory,2007,2025,177
LongHistory,2007,2026,137
LongHistory,2008,2008,166
LongHistory,2008,2009,5
LongHistory,2008,2010,114
LongHistory,2008,2011,127
LongHistory,2008,2012,23
LongHistory,2008,2013,118
LongHistory,2008,2014,81
LongHistory,2008,2015,29
LongHistory,2008,2016,14
LongHistory,2008,2017,75
LongHistory,2008,2018,183
LongHistory,2008,2019,160
LongHistory,2008,2020,82
LongHistory,2008,2021,89
LongHistory,2008,2022,195
LongHistory,2008,2023,117
LongHistory,2008,2024,146
LongHistory,2008,2025,93
LongHistory,2008,2026,107
LongHistory,2008,2027,34
LongHistory,2009,2009,146
LongHistory,2009,2010,130
LongHistory,2009,2011,109
LongHistory,2009,2012,107
LongHistory,2009,2013,200
LongHistory,2009,2014,1
LongHistory,2009,2015,101
LongHistory,2009,2016,158
LongHistory,2009,2017,38
LongHistory,2009,2018,134
LongHistory,2009,2019,54
LongHistory,2009,2020,184
LongHistory,2009,2021,153
LongHistory,2009,2022,20
LongHistory,2009,2023,194
LongHistory,2009,2024,138
LongHistory,2009,2025,156
LongHistory,2009,2026,133
LongHistory,2009,2027,18
LongHistory,2009,2028,102
Product 2,1990,1990,22
Product 2,1990,1991,33
Product 2,1990,1992,28
Product 2,1990,1993,170
Product 2,1990,1994,36
Product 2,1990,1995,83
Product 2,1990,1996,191
Product 2,1990,1997,6
Product 2,1990,1998,21
Product 2,1990,1999,108
Product 2,1990,2000,2
Product 2,1990,2001,49
Product 2,1990,2002,142
Product 2,1990,2003,10
Product 2,1990,2004,59
Product 2,1990,2005,107
Product 2,1990,2006,86
Product 2,1990,2007,13
Product 2,1990,2008,99
Product 2,1990,2009,178
Product 2,1992,1992,40
Product 2,1992,1993,128
Product 2,1992,1994,85
Product 2,1992,1995,12
Product 2,1992,1996,27
Product 2,1992,1997,143
Product 2,1992,1998,189
Product 2,1992,1999,120
Product 2,1992,2000,70
Product 2,1992,2001,49
Product 2,1992,2002,138
Product 2,1992,2003,90
Product 2,1992,2004,87
Product 2,1992,2005,11
Product 2,1992,2006,169
Product 2,1992,2007,189
Product 2,1992,2008,97
Product 2,1992,2009,179
Product 2,1992,2010,50
Product 2,1992,2011,63
Product 2,1993,1993,43
Product 2,1993,1994,114
Product 2,1993,1995,181
Product 2,1993,1996,75
Product 2,1993,1997,176
Product 2,1993,1998,114
Product 2,1993,1999,96
Product 2,1993,2000,100
Product 2,1993,2001,95
Product 2,1993,2002,120
Product 2,1993,2003,194
Product 2,1993,2004,65
Product 2,1993,2005,131
Product 2,1993,2006,174
Product 2,1993,2007,46
Product 2,1993,2008,73
Product 2,1993,2009,33
Product 2,1993,2010,106
Product 2,1993,2011,198
Product 2,1993,2012,101
Product 2,1994,1994,146
Product 2,1994,1995,10
Product 2,1994,1996,114
Product 2,1994,1997,79
Product 2,1994,1998,154
Product 2,1994,1999,50
Product 2,1994,2000,42
Product 2,1994,2001,91
Product 2,1994,2002,184
Product 2,1994,2003,98
Product 2,1994,2004,76
Product 2,1994,2005,124
Product 2,1994,2006,150
Product 2,1994,2007,96
Product 2,1994,2008,128
Product 2,1994,2009,11
Product 2,1994,2010,55
Product 2,1994,2011,89
Product 2,1994,2012,85
Product 2,1994,2013,22
Product 2,1995,1995,144
Product 2,1995,1996,110
Product 2,1995,1997,89
Product 2,1995,1998,2
Product 2,1995,1999,87
Product 2,1995,2000,180
Product 2,1995,2001,120
Product 2,1995,2002,176
Product 2,1995,2003,97
Product 2,1995,2004,13
Product 2,1995,2005,77
Product 2,1995,2006,83
Product 2,1995,2007,151
Product 2,1995,2008,200
Product 2,1995,2009,144
Product 2,1995,2010,45
Product 2,1995,2011,59
Product 2,1995,2012,172
Product 2,1995,2013,189
Product 2,1995,2014,96
Product 2,1996,1996,85
Product 2,1996,1997,160
Product 2,1996,1998,154
Product 2,1996,1999,30
Product 2,1996,2000,94
Product 2,1996,2001,79
Product 2,1996,2002,32
Product 2,1996,2003,72
Product 2,1996,2004,96
Product 2,1996,2005,130
Product 2,1996,2006,63
Product 2,1996,2007,28
Product 2,1996,2008,79
Product 2,1996,2009,123
Product 2,1996,2010,134
Product 2,1996,2011,133
Product 2,1996,2012,157
Product 2,1996,2013,20
Product 2,1996,2014,103
Product 2,1996,2015,43
Product 2,1997,1997,165
Product 2,1997,1998,10
Product 2,1997,1999,192
Product 2,1997,2000,27
Product 2,1997,2001,56
Product 2,1997,2002,36
Product 2,1997,2003,200
Product 2,1997,2004,195
Product 2,1997,2005,81
Product 2,1997,2006,112
Product 2,1997,2007,147
Product 2,1997,2008,88
Product 2,1997,2009,11
Product 2,1997,2010,61
Product 2,1997,2011,32
Product 2,1997,2012,25
Product 2,1997,2013,183
Product 2,1997,2014,180
Product 2,1997,2015,66
Product 2,1997,2016,111
Product 2,1998,1998,70
Product 2,1998,1999,38
Product 2,1998,2000,36
Product 2,1998,2001,165
Product 2,1998,2002,65
Product 2,1998,2003,175
Product 2,1998,2004,72
Product 2,1998,2005,30
Product 2,1998,2006,186
Product 2,1998,2007,194
Product 2,1998,2008,188
Product 2,1998,2009,172
Product 2,1998,2010,166
Product 2,1998,2011,200
Product 2,1998,2012,146
Product 2,1998,2013,20
Product 2,1998,2014,45
Product 2,1998,2015,8
Product 2,1998,2016,23
Product 2,1998,2017,146
Product 2,1999,1999,115
Product 2,1999,2000,126
Product 2,1999,2001,189
Product 2,1999,2002,113
Product 2,1999,2003,28
Product 2,1999,2004,28
Product 2,1999,2005,150
Product 2,1999,2006,138
Product 2,1999,2007,120
Product 2,1999,2008,149
Product 2,1999,2009,57
Product 2,1999,2010,145
Product 2,1999,2011,102
Product 2,1999,2012,15
Product 2,1999,2013,49
Product 2,1999,2014,127
Product 2,1999,2015,14
Product 2,1999,2016,100
Product 2,1999,2017,120
Product 2,1999,2018,7
Product 2,2000,2000,147
Product 2,2000,2001,180
Product 2,2000,2002,97
Product 2,2000,2003,65
Product 2,2000,2004,11
Product 2,2000,2005,199
Product 2,2000,2006,41
Product 2,2000,2007,116
Product 2,2000,2008,21
Product 2,2000,2009,10
Product 2,2000,2010,4
Product 2,2000,2011,166
Product 2,2000,2012,63
Product 2,2000,2013,162
Product 2,2000,2014,13
Product 2,2000,2015,138
Product 2,2000,2016,177
Product 2,2000,2017,187
Product 2,2000,2018,51
Product 2,2000,2019,111
Product 2,2001,2001,145
Product 2,2001,2002,171
Product 2,2001,2003,133
Product 2,2001,2004,37
Product 2,2001,2005,62
Product 2,2001,2006,160
Product 2,2001,2007,7
Product 2,2001,2008,153
Product 2,2001,2009,2
Product 2,2001,2010,16
Product 2,2001,2011,38
Product 2,2001,2012,162
Product 2,2001,2013,33
Product 2,2001,2014,183
Product 2,2001,2015,13
Product 2,2001,2016,78
Product 2,2001,2017,83
Product 2,2001,2018,30
Product 2,2001,2019,153
Product 2,2001,2020,97
Product 2,2002,2002,71
Product 2,2002,2003,23
Product 2,2002,2004,23
Product 2,2002,2005,155
Product 2,2002,2006,169
Product 2,2002,2007,172
Product 2,2002,2008,186
Product 2,2002,2009,20
Product 2,2002,2010,21
Product 2,2002,2011,79
Product 2,2002,2012,170
Product 2,2002,2013,72
Product 2,2002,2014,115
Product 2,2002,2015,8
Product 2,2002,2016,87
Product 2,2002,2017,199
Product 2,2002,2018,168
Product 2,2002,2019,32
Product 2,2002,2020,87
Product 2,2002,2021,110
Product 2,2003,2003,197
Product 2,2003,2004,175
Product 2,2003,2005,121
Product 2,2003,2006,136
Product 2,2003,2007,101
Product 2,2003,2008,131
Product 2,2003,2009,189
Product 2,2003,2010,45
Product 2,2003,2011,183
Product 2,2003,2012,118
Product 2,2003,2013,200
Product 2,2003,2014,98
Product 2,2003,2015,67
Product 2,2003,2016,177
Product 2,2003,2017,28
Product 2,2003,2018,153
Product 2,2003,2019,136
Product 2,2003,2020,188
Product 2,2003,2021,186
Product 2,2003,2022,30
Product 2,2004,2004,86
Product 2,2004,2005,35
Product 2,2004,2006,108
Product 2,2004,2007,25
Product 2,2004,2008,115
Product 2,2004,2009,5
Product 2,2004,2010,100
Product 2,2004,2011,20
Product 2,2004,2012,117
Product 2,2004,2013,112
Product 2,2004,2014,4
Product 2,2004,2015,18
Product 2,2004,2016,12
Product 2,2004,2017,0
Product 2,2004,2018,57
Product 2,2004,2019,124
Product 2,2004,2020,179
Product 2,2004,2021,102
Product 2,2004,2022,32
Product 2,2004,2023,184
Product 2,2005,2005,46
Product 2,2005,2006,173
Product 2,2005,2007,114
Product 2,2005,2008,103
Product 2,2005,2009,138
Product 2,2005,2010,20
Product 2,2005,2011,97
Product 2,2005,2012,115
Product 2,2005,2013,105
Product 2,2005,2014,169
Product 2,2005,2015,61
Product 2,2005,2016,177
Product 2,2005,2017,10
Product 2,2005,2018,164
Product 2,2005,2019,75
Product 2,2005,2020,15
Product 2,2005,2021,151
Product 2,2005,2022,92
